54,133,63
60,134,56
63,144,43
72,144,34
89,141,20
95,140,15
99,135,16
96,138,16
101,128,21
107,122,21
110,120,20
112,117,21
109,121,20
111,118,21
113,117,20
112,118,20
112,118,20
115,112,23
118,111,21
122,107,21
126,103,21
132,98,20
135,95,20
135,94,21
132,97,21
132,97,21
138,93,19
142,91,17
148,87,15
150,86,14
151,85,14
154,82,14
156,82,12
157,82,11
157,81,12
160,78,12
160,78,12
163,74,13
163,74,13
159,78,13
162,74,14
164,72,14
169,66,15
168,68,14
171,62,17
175,59,16
177,57,16
183,54,13
185,51,14
185,51,14
188,47,15
192,43,15
192,43,15
196,38,16
197,37,16
197,38,15
200,38,12
202,37,11
203,37,10
207,34,9
203,35,12
204,34,12
211,29,10
215,27,8
219,26,5
219,26,5
221,25,4
225,22,3
200,37,13
207,34,9
211,33,6
210,34,6
210,34,6
212,32,6
214,31,5
214,32,4
214,32,4
217,30,3
187,53,10
185,55,10
186,55,9
186,56,8
187,55,8
185,54,11
187,54,9
190,51,9
188,54,8
190,53,7
193,49,8
192,49,9
193,48,9
191,51,8
189,52,9
194,48,8
192,50,8
193,50,7
180,59,11
180,60,10
178,61,11
179,60,11
179,60,11
180,60,10
180,60,10
184,57,9
184,58,8
185,57,8
182,60,8
183,60,7
183,60,7
180,62,8
184,58,8
189,53,8
189,53,8
195,49,6
196,49,5
196,49,5
194,51,5
193,52,5
197,48,5
197,46,7
196,48,6
170,67,13
169,67,14
172,64,14
174,61,15
175,59,16
181,58,11
185,54,11
186,55,9
190,52,8
192,50,8
178,54,18
175,59,16
179,56,15
181,55,14
189,50,11
189,51,10
193,48,9
196,45,9
195,47,8
203,40,7
206,38,6
207,37,6
209,35,6
212,32,6
215,30,5
219,27,4
222,25,3
222,25,3
223,24,3
223,24,3
224,23,3
224,23,3
227,21,2
225,23,2
224,24,2
226,22,2
228,20,2
189,52,9
189,52,9
189,52,9
189,52,9
187,54,9
188,56,6
187,59,4
180,63,7
182,60,8
173,54,23
172,56,22
170,58,22
163,57,30
169,53,28
170,53,27
170,53,27
175,50,25
180,48,22
181,48,21
179,50,21
182,49,19
185,47,18
189,46,15
192,45,13
193,44,13
195,45,10
196,44,10
196,44,10
198,42,10
200,40,10
203,38,9
207,35,8
210,33,7
213,31,6
214,28,8
216,26,8
216,26,8
218,25,7
221,24,5
223,23,4
219,26,5
213,29,8
213,31,6
214,31,5
213,33,4
216,30,4
214,32,4
215,33,2
216,32,2
210,38,2
213,35,2
198,42,10
201,40,9
200,42,8
203,39,8
206,36,8
202,39,9
199,42,9
203,39,8
203,39,8
203,40,7
204,40,6
203,41,6
199,46,5
199,46,5
198,48,4
201,45,4
199,47,4
201,46,3
206,42,2
207,41,2
208,40,2
208,40,2
206,42,2
201,46,3
176,58,16
177,57,16
176,57,17
177,56,17
178,55,17
179,56,15
183,51,16
185,52,13
187,49,14
188,47,15
189,48,13
190,48,12
185,52,13
178,56,16
179,56,15
184,52,14
185,52,13
187,50,13
192,48,10
194,47,9
195,47,8
185,55,10
191,50,9
195,46,9
196,45,9
194,48,8
197,45,8
197,44,9
199,42,9
199,43,8
197,44,9
192,47,11
186,50,14
185,52,13
188,48,14
189,48,13
188,50,12
193,45,12
195,47,8
196,46,8
199,44,7
202,41,7
202,42,6
203,41,6
202,42,6
197,44,9
197,43,10
188,50,12
193,45,12
194,45,11
194,47,9
197,43,10
194,46,10
198,43,9
197,44,9
198,43,9
197,44,9
200,43,7
201,42,7
201,42,7
190,51,9
191,52,7
193,50,7
197,46,7
199,44,7
198,46,6
202,43,5
202,43,5
189,51,10
188,49,13
190,49,11
191,49,10
192,48,10
194,45,11
196,43,11
196,43,11
196,43,11
201,42,7
