48,135,67
42,144,64
48,136,66
51,144,55
47,135,68
56,144,50
67,140,43
73,136,41
91,136,23
81,145,24
101,133,16
92,140,18
88,137,25
81,138,31
85,135,30
91,128,31
95,124,31
94,122,34
93,124,33
103,123,24
110,125,15
118,118,14
125,113,12
124,113,13
123,111,16
125,110,15
125,110,15
129,103,18
127,104,19
127,107,16
130,104,16
137,100,13
138,97,15
138,98,14
140,96,14
143,95,12
147,89,14
149,89,12
152,85,13
150,88,12
151,85,14
153,84,13
153,84,13
158,79,13
158,80,12
158,80,12
160,78,12
162,76,12
168,71,11
174,67,9
175,66,9
173,69,8
180,61,9
182,59,9
180,46,24
185,43,22
190,38,22
192,38,20
194,37,19
194,38,18
195,36,19
194,39,17
197,39,14
202,36,12
202,39,9
205,37,8
212,32,6
201,36,13
202,36,12
207,35,8
207,34,9
206,35,9
203,38,9
203,38,9
206,37,7
209,37,4
208,37,5
202,42,6
201,43,6
198,45,7
202,41,7
199,44,7
186,56,8
190,53,7
188,55,7
191,53,6
190,54,6
188,54,8
188,54,8
190,51,9
190,51,9
192,50,8
193,49,8
196,48,6
198,48,4
199,47,4
200,46,4
202,44,4
193,51,6
175,62,13
